state,constituency,candidate,party,votes,status,margin,last_updated
Assam,Assam Party Trend,Bharatiya Janata Party - BJP,BJP,82,Leading,3,2026-05-04 19:38:18
Assam,Assam Party Trend,Indian National Congress - INC,INC,19,Leading,7,2026-05-04 19:38:18
Assam,Assam Party Trend,Bodoland Peoples Front - BOPF,BOPF,10,Leading,1,2026-05-04 19:38:18
Assam,Assam Party Trend,Asom Gana Parishad - AGP,AGP,10,Leading,4,2026-05-04 19:38:18
Assam,Assam Party Trend,All India United Democratic Front - AIUDF,AIUDF,2,Won,0,2026-05-04 19:38:18
Assam,Assam Party Trend,Raijor Dal - RJRD,RJRD,2,Won,0,2026-05-04 19:38:18
Assam,Assam Party Trend,All India Trinamool Congress - AITC,AITC,1,Won,0,2026-05-04 19:38:18
Kerala,Kerala Party Trend,Indian National Congress - INC,INC,63,Won,0,2026-05-04 19:38:23
Kerala,Kerala Party Trend,Communist Party of India (Marxist) - CPI(M),CPI(M),26,Won,0,2026-05-04 19:38:23
Kerala,Kerala Party Trend,Indian Union Muslim League - IUML,IUML,22,Won,0,2026-05-04 19:38:23
Kerala,Kerala Party Trend,Communist Party of India - CPI,CPI,8,Won,0,2026-05-04 19:38:23
Kerala,Kerala Party Trend,Kerala Congress - KEC,KEC,7,Won,0,2026-05-04 19:38:23
Kerala,Kerala Party Trend,Revolutionary Socialist Party - RSP,RSP,3,Won,0,2026-05-04 19:38:23
Kerala,Kerala Party Trend,Bharatiya Janata Party - BJP,BJP,3,Won,0,2026-05-04 19:38:23
Kerala,Kerala Party Trend,Rashtriya Janata Dal - RJD,RJD,1,Won,0,2026-05-04 19:38:23
Kerala,Kerala Party Trend,Revolutionary Marxist Party of India - RMPOI,RMPOI,1,Won,0,2026-05-04 19:38:23
Kerala,Kerala Party Trend,Kerala Congress (Jacob) - KEC(J),KEC(J),1,Won,0,2026-05-04 19:38:23
Kerala,Kerala Party Trend,Communist Marxist Party Kerala State Committee - CMPKSC,CMPKSC,1,Won,0,2026-05-04 19:38:23
Kerala,Kerala Party Trend,Independent - IND,IND,4,Won,0,2026-05-04 19:38:23
Tamil Nadu,Tamil Nadu Party Trend,Tamilaga Vettri Kazhagam - TVK,TVK,107,Leading,45,2026-05-04 19:38:28
Tamil Nadu,Tamil Nadu Party Trend,Dravida Munnetra Kazhagam - DMK,DMK,58,Leading,34,2026-05-04 19:38:28
Tamil Nadu,Tamil Nadu Party Trend,All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,48,Leading,25,2026-05-04 19:38:28
Tamil Nadu,Tamil Nadu Party Trend,Pattali Makkal Katchi - PMK,PMK,5,Leading,3,2026-05-04 19:38:28
Tamil Nadu,Tamil Nadu Party Trend,Indian National Congress - INC,INC,5,Leading,3,2026-05-04 19:38:28
Tamil Nadu,Tamil Nadu Party Trend,Indian Union Muslim League - IUML,IUML,2,Leading,1,2026-05-04 19:38:28
Tamil Nadu,Tamil Nadu Party Trend,Communist Party of India - CPI,CPI,2,Leading,1,2026-05-04 19:38:28
Tamil Nadu,Tamil Nadu Party Trend,Viduthalai Chiruthaigal Katchi - VCK,VCK,2,Leading,1,2026-05-04 19:38:28
Tamil Nadu,Tamil Nadu Party Trend,Communist Party of India (Marxist) - CPI(M),CPI(M),2,Won,0,2026-05-04 19:38:28
Tamil Nadu,Tamil Nadu Party Trend,Bharatiya Janata Party - BJP,BJP,1,Won,0,2026-05-04 19:38:28
Tamil Nadu,Tamil Nadu Party Trend,Desiya Murpokku Dravida Kazhagam - DMDK,DMDK,1,Won,0,2026-05-04 19:38:28
Tamil Nadu,Tamil Nadu Party Trend,Amma Makkal Munnettra Kazagam - AMMKMNKZ,AMMKMNKZ,1,Won,0,2026-05-04 19:38:28
West Bengal,West Bengal Party Trend,Bharatiya Janata Party - BJP,BJP,206,Leading,110,2026-05-04 19:38:33
West Bengal,West Bengal Party Trend,All India Trinamool Congress - AITC,AITC,81,Leading,39,2026-05-04 19:38:33
West Bengal,West Bengal Party Trend,Indian National Congress - INC,INC,2,Won,0,2026-05-04 19:38:33
West Bengal,West Bengal Party Trend,Aam Janata Unnayan party - AJUP,AJUP,2,Won,0,2026-05-04 19:38:33
West Bengal,West Bengal Party Trend,Communist Party of India (Marxist) - CPI(M),CPI(M),1,Leading,1,2026-05-04 19:38:33
West Bengal,West Bengal Party Trend,All India Secular Front - AISF,AISF,1,Leading,1,2026-05-04 19:38:33
Puducherry,Puducherry Party Trend,All India N.R. Congress - AINRC,AINRC,12,Leading,2,2026-05-04 19:38:38
Puducherry,Puducherry Party Trend,Dravida Munnetra Kazhagam - DMK,DMK,5,Won,0,2026-05-04 19:38:38
Puducherry,Puducherry Party Trend,Bharatiya Janata Party - BJP,BJP,4,Leading,1,2026-05-04 19:38:38
Puducherry,Puducherry Party Trend,Tamilaga Vettri Kazhagam - TVK,TVK,2,Won,0,2026-05-04 19:38:38
Puducherry,Puducherry Party Trend,Indian National Congress - INC,INC,1,Won,0,2026-05-04 19:38:38
Puducherry,Puducherry Party Trend,Latchiya Jananayaka Katchi (LJK) - LJK,LJK,1,Won,0,2026-05-04 19:38:38
Puducherry,Puducherry Party Trend,All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,1,Won,0,2026-05-04 19:38:38
Puducherry,Puducherry Party Trend,Neyam Makkal Kazhagam - NYMK,NYMK,1,Won,0,2026-05-04 19:38:38
Puducherry,Puducherry Party Trend,Independent - IND,IND,3,Won,0,2026-05-04 19:38:38
